!WOW!|Mills Novelty Company|March, 1932|1|ME|Unknown
"1 2 3"|Mills Novelty Company|1940|1|EM|Unknown
"300"|D. Gottlieb &amp; Company|August, 1975|4|EM|Sports - Bowling
"7-11"|J. H. Keeney and Company Incorporated|August, 1935|1|EM|Unknown
"8 Ball"|Williams Manufacturing Company|February, 1952|1|EM|Billiards
"Lucky Boy"|Warren Manufacturing Company|March, 1932|1|ME|Unknown
$1,000,000 Pool|D. Gottlieb &amp; Company, a Columbia Pictures Industries Company|Unknown|6|Unknown|Unknown
'Regatta'|Exhibit Supply Company|October, 1938|1|EM|Adventure - Boats - Nautical - Recreation - Sailing - Water
007-Flipper|VEB Luckenwalder Metallwarenfabrik|Unknown|2|EM|Sports
10th Inning|United Manufacturing Company|1948|1|EM|Sports - Baseball
10th Inning|Williams Electronic Manufacturing Company|February, 1964|2|EM|Sports - Baseball
15*Pool|Unknown Manufacturer|1976|1|EM|Billiards
1776||1948|1|EM|American History - Warfare
1871 Redgrave Parlor Bagatelle|M. Redgrave Bagatelle Company|1871|1|ME|Unknown
1902 Redgrave Parlor Bagatelle-|M. Redgrave Bagatelle Company|1902|1|ME|Unknown
1937 Daily Races|D. Gottlieb &amp; Company|November, 1936|1|EM|Unknown
1937 World Series|Rock-ola Manufacturing Corporation|1937|1|EM|Sports - Baseball
1940 Rebound|Exhibit Supply Company|November, 1939|1|EM|Sports - Snow Skiing
1941 Velvet|J. H. Keeney and Company Incorporated|January, 1941|1|EM|Unknown
1942 Bowling Alley|Glickman Company|March, 1942|1|EM|Sports - Bowling
1957 Baseball|Williams Manufacturing Company|January, 1957|1|EM|Sports - Baseball
1957 Baseball Deluxe|Williams Manufacturing Company|January, 1957|1|EM|Sports - Baseball
1962 World Series|Williams Electronic Manufacturing Company|January, 1962|1|EM|Sports - Baseball
1963 A. L. Twins|Unknown Manufacturer|Unknown|1|EM|Sports - Baseball
1963 Major League|Williams Electronic Manufacturing Company|March, 1963|1|EM|Sports - Baseball
1X2|Iberomatic S.A.|Unknown|1|EM|Gambling
1ª División|Proyectos Electromecánicos de Tanteo y Color|Unknown|1|EM|Sports - Futbol - Soccer
1·2·3...|Talleres del Llobregat S.A. [Automaticos]|Unknown|1|EM|TV Game Show
2 in 1|Bally Manufacturing Corporation|July, 1964|2|EM|Unknown
2001|D. Gottlieb &amp; Company|February, 1971|1|EM|Fantasy
2002|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Unknown
21|D. Gottlieb &amp; Company|April, 1937|1|EM|Unknown
21|Williams Electronic Manufacturing Company|February 24, 1960|1|EM|Cards/Gambling
21|Rock-ola Manufacturing Corporation|May, 1935|1|EM|Unknown
21 Odds|Stoner Manufacturing Company|January, 1936|1|EM|Unknown
21,000|Rock-ola Manufacturing Corporation|July 07, 1935|1|EM|Unknown
24|Stern Pinball, Incorporated|Unknown|4|SS|LIcensed Theme - Television Show - Law
24 Heures du Mans|Unknown Manufacturer|Unknown|1|EM|Sports - Auto Racing
250 cc|Industria (Electromecánica) de Recreativos S.A|1992|4|SS|Unknown
3 Across|Bally Manufacturing Corporation|1936|1|EM|Unknown
3 Coins|Williams Electronic Manufacturing Company|February 15, 1962|1|EM|Castles - Playing Cards
3 In Line|Scientific Machine Corporation|May, 1950|1|EM|Tic-Tac-Toe
3 Jokers|Williams Electronics, Incorporated|November, 1970|1|EM|Cards/Gambling
3-4-5|United Manufacturing Company|June, 1951|1|EM|Unknown
3-D|Williams Electronic Manufacturing Company|November 01, 1958|1|EM|Music - Dancing
3-In-A-Row|A.B.T. Manufacturing Company|March, 1936|1|EM|Unknown
3-In-Line|Bally Manufacturing Corporation|July, 1963|4|EM|Majorettes
3-in-Line|Bally Manufacturing Corporation|July, 1935|1|EM|Unknown
3-Ring Circus|Rock-ola Manufacturing Corporation|July, 1932|1|ME|Circus
3-Ring Circus|Bally Manufacturing Corporation|July, 1932|1|ME|Circus
300|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Sports - Bowling
301/Bulls Eye|Grand Products Incorporated|May, 1986|4|SS|Sports - Darts
4 Aces|Williams Electronics, Incorporated|March 12, 1970|2|EM|Cards/Gambling
4 Bagger Deluxe|Williams Manufacturing Company|April, 1956|1|EM|Sports - Baseball
4 Ball Top It|A.B.T. Manufacturing Company|March, 1936|1|EM|Unknown
4 Queens|Bally Manufacturing Corporation|December, 1970|1|EM|Unknown
4 Roses|Williams Electronic Manufacturing Company|December 04, 1962|1|EM|Pageantry
4 Square|D. Gottlieb &amp; Company|June, 1971|1|EM|Unknown
4 Star|Williams Manufacturing Company|July 20, 1958|1|EM|Happiness - Dancing
4-Belles|D. Gottlieb &amp; Company|September 22, 1954|1|EM|Nautical - Sailing
4-Score|D. Gottlieb &amp; Company|own|Unknown|EM|Unknown
400|Genco Manufacturing Company|October, 1952|1|EM|Unknown
41-Derby|Bally Manufacturing Corporation|1941|1|EM|Sports - Horse Racing
42nd and Broadway||Unknown|1|EM|Unknown
42nd Street|Genco Manufacturing Company|December, 1933|1|ME|Broadway - Movies
45-Derby|Roy McGinnis Company|June, 1945|1|EM|Sports - Horse Racing
4x4|Maquinas Recreativas Sociedad Anonima|Unknown|1|EM|Music - People - Op Art
4X4|Atari, Incorporated|1983|4|SS|Unknown
5 Star|Universal Industries, Inc. (Chicago) A subsidiary of United Manufacturing Co.|May, 1951|1|EM|Unknown
50/50|G. M. Laboratories, Incorporated|November, 1935|1|EM|Unknown
50/50|Bally Manufacturing Corporation|July, 1965|2|EM|Fun Park
5th Inning|United Manufacturing Company|June, 1955|4|EM|Sports - Baseball
66|Globe Manufacturing Company|December, 1934|1|ME|Unknown
7 - 11|Baker Machine &amp; Plating Company, Incorporated|April, 1932|1|ME|Unknown
7-Up|Talleres del Llobregat S.A. [Automaticos]|1970|1|EM|Playing Dice
8 Ball|Williams Electronic Manufacturing Company|January 17, 1966|2|EM|Billiards
A Circus|Colonial Specialties Company|December, 1932|1|ME|Unknown
A Circus|Ace Novelty Company|October, 1932|1|ME|Unknown
A-B-C|United Manufacturing Company|March, 1951|1|EM|Unknown
A-B-C Bowler|D. Gottlieb &amp; Company|August, 1941|1|EM|Sports - Bowling
A-Go-Go|Williams Electronic Manufacturing Company|May 25, 1966|4|EM|Happiness - Dancing
A-MAZE-ING Baseball|Alvin G. and Company|1994|1|SS|Sports - Baseball
A.B.C.|A.B.T. Manufacturing Company|February, 1936|1|EM|Unknown
A.G. Football|Alvin G. and Company|October, 1992|2|SS|Sports - European Football (i.e. U.S. Soccer)
A.G. Soccer-Ball|Alvin G. and Company|October, 1991|2|SS|Sports - Soccer
Aaron Spelling|Data East Pinball, Incorporated|February, 1992|4|SS|Unknown
ABC Roll|Champion Games|1946|1|EM|Unknown
Abra Ca Dabra|D. Gottlieb &amp; Company|November, 1975|1|EM|Wizard/Magic
Abra Ca Dabra|D. Gottlieb &amp; Company|October, 1971|1|EM|Unknown
AC/DC (LUCI Premium)|Stern Pinball, Incorporated|December, 2013|4|SS|Licensed Theme - Music
AC/DC (Premium)|Stern Pinball, Incorporated|March, 2012|4|SS|Licensed Theme - Music
AC/DC (Pro)|Stern Pinball, Incorporated|2012|4|SS|Licensed Theme - Music
AC/DC Back In Black Limited Edition|Stern Pinball, Incorporated|March, 2012|4|SS|Licensed Theme - Music
AC/DC Let There Be Rock Limited Edition|Stern Pinball, Incorporated|March, 2012|4|SS|Licensed Theme - Music
Acapulco|Splin S.A.|Unknown|1|SS|Unknown
Acapulco|Bally Manufacturing Corporation|Unknown|1|EM|Unknown
Ace|Unknown Manufacturer|Unknown|1|ME|Unknown
Ace|Bally Manufacturing Corporation|August, 1935|1|EM|Unknown
Ace|Ace Manufacturing Company|April, 1932|1|ME|Unknown
Ace High|D. Gottlieb &amp; Company|July, 1954|1|EM|Unknown
Ace High|Premier Technology|Unknown|4|SS|Playing Cards
Ace High|Pierce Tool and Manufacturing Company|April, 1932|1|ME|Card Game
Ace High|D. Gottlieb &amp; Company|February, 1957|1|EM|Cards/Gambling
Ace Is High|Hercules Novelty Company, Incorporated|June, 1931|1|ME|Cards/Gambling
Aces &amp; Kings|Williams Electronics, Incorporated|June 08, 1970|4|EM|Cards/Gambling
Aces High|Bally Manufacturing Corporation|August, 1965|4|EM|Gambling - Poker - Riverboat
Aces High|Unknown Manufacturer|1932|1|Unknown|Unknown
Aces Top|Bally Manufacturing Corporation|August, 1965|4|EM|Gambling - Poker - Riverboat
Acey Ducy|Auto Bell Novelty Company|May, 1960|2|ME|Playing Cards
Across the Board|United Manufacturing Company|September, 1952|1|EM|Unknown
Across the Board|Rock-ola Manufacturing Corporation|January, 1938|1|EM|Unknown
Action|Unknown Manufacturer|April, 1943|1|EM|Unknown
Action|Chicago Coin Machine Manufacturing Company|September 15, 1969|1|EM|Sports - Auto Racing
Action (Jr)|Bally Manufacturing Corporation|December, 1934|1|EM|Unknown
Action (Sr)|Automatic Amusements Company|November, 1934|1|EM|Unknown
Action (Sr)|Bally Manufacturing Corporation|December, 1934|1|EM|Unknown
Action Baseball|Williams Electronics, Incorporated|March, 1971|2|EM|Sports - Baseball
Add-A-Ball|Williams Electronic Manufacturing Company|September, 1961|1|EM|Circus/Carnival
Admiral|Genco Manufacturing Company|February, 1933|1|ME|Unknown
Advance|Automatic Amusements Company|October, 1933|1|ME|Unknown
Advance Alley Roll|Genco Manufacturing Company|Unknown|1|EM|Unknown
Advance Baby|Advance Automatic Machine Company|1932|1|ME|Unknown
Advance Pool|Chicago Coin Machine Manufacturing Company|Unknown|2|EM|Billiards
Advance Roll|Genco Manufacturing Company|December 30, 1946|1|EM|Unknown
Adventure|Sega Enterprises, Ltd.|January, 1979|2|SS|Adventure - Boats - Recreation - Sailing - Water
Adventures of Rocky and Bullwinkle and Friends|Data East Pinball, Incorporated|February 01, 1993|4|SS|Cartoon
Aerobatics|Zaccaria|February, 1977|1|EM|Unknown
Af-Tor|Wico Corporation|December, 1984|4|SS|Unknown
Africa Queen|Europlay|Unknown|1|EM|Fantasy
Agate Game|Dewey Coin Machine Company|Unknown|1|ME|Unknown
Agents 777|Game Plan, Incorporated|November, 1984|4|SS|Cartoon - Crime
Air Aces|Bally Manufacturing Corporation|February, 1975|4|EM|Adventure - Aviation - Combat - Military - Warfare
Air Circus|Exhibit Supply Company|January, 1942|1|EM|Aviation
Air Command||own|Unknown|Unknown|Unknown
Air Derby|Western Equipment &amp; Supply Company|June, 1937|1|EM|Aircraft - Airplanes - Airports - Aviation - Flying
Air Force|Bally Manufacturing Corporation|1941|1|EM|Aviation - Combat - Military - Historical - Wartime - Warfare - World War II
Air Lane|Bally Manufacturing Corporation|June, 1936|1|EM|Aircraft - Airplanes - Airports - Aviation - Flying
Air Races|Atlas Indicator Works Incorporated|October, 1932|1|ME|Aviation
Air Races|Stoner Manufacturing Company|April, 1937|1|EM|Wartime
Air Raid|Unknown Manufacturer|Unknown|1|EM|Combat - Military - Warfare
Air Raid Defense|Gotham Pressed Steel Corporation|Unknown|1|ME|Warfare
Airborne|J. Esteban|Unknown|4|EM|Aviation
Airborne|Capcom Coin-Op, Incorporated|March, 1996|4|SS|Aviation
Airborne Avenger|Atari, Incorporated|September, 1977|4|SS|Adventure - Combat
Airliner|Exhibit Supply Company|August, 1939|1|EM|Unknown
Airport|D. Gottlieb &amp; Company|April, 1969|2|EM|Travel
Airport|Genco Manufacturing Company|May, 1939|1|EM|Aircraft - Airplanes - Airports - Aviation - Flying
Airway|Bally Manufacturing Corporation|February, 1933|1|ME|Aviation
Airway of 1937|Bally Manufacturing Corporation|August, 1937|1|EM|Aviation
Airways|Lindstrom Tool and Toy Company|1934|1|ME|Unknown
Ak-Sar-Ben|Western Equipment &amp; Supply Company|November, 1937|1|EM|Sports - Horse Racing
Al Capone|LTD do Brasil Diversões Eletrônicas Ltda|Unknown|4|SS|American History - Cards/Gambling
Al's Garage Band Goes On a World Tour|Alvin G. and Company|December, 1992|4|SS|Music - Singing
Alabama Crimson Tide||2004|4|EM|Sports - Football
Aladdin's Castle|Bally Manufacturing Corporation|June, 1976|2|EM|Fantasy - Myth and Legend
Alamo|Rock-ola Manufacturing Corporation|May, 1936|1|EM|American Places - Historical
Alamo|Joseph Schneider Incorporated|Unknown|1|ME|American Places - History
Alarm|T.H. Bergmann &amp; Company|July, 1958|1|EM|Unknown
Alaska|Interflip S. A.|May, 1978|4|SS|American Places
Alaska|Recreativos Franco|Unknown|1|EM|Unknown
Alert|Arco Sales Co.|January, 1943|1|EM|Unknown
