KS|kickstarter
TWD|The Walking Dead
TBL|The Big Lebowski
BoP|Bride of Pinbot
WPC|Williams Pinball Controller
APPLE|Advanced Pinball Programming Logic Executive
TAF|The Addams Family
SDTM|Straight Down The Middle
ECLE|Wizard of OZ Limited Edition for US customers only
Bags|Norway's Tommy
WPC repair|http://pinwiki.com/wiki/index.php?title=Williams_Repair_Guides
freeman|an indentured servant that was given a sock, so now he is free.
SS|Scared Stiff
SS|Silver Slugger
SS|Solid State
SS|SlingShot
STDM|Dyslexic version of STDM 
WH2O|Whitewater by Williams
WPT|an amazing game designed by Steve Ritchie, and Keith Johnson; with a ton of drop targets, and display on the playfield
TRS|a terrible game
BoP|a one shot game
IPDB|where you should look for pinball machine information before asking a question here.  not really. we don't mind.
AAB|Add-a-ball -- Allows the player to add additional balls by achieving a specific task 
EM|A pinball machine design that relies on relays, motors and switches to run. This design was phased out in the late 1970s. EM machines are easily recognized by their scoring displays that have mechanical score reels that spin to show the score. Newer machines are referred to as solid state (SS).
Special|Some machines allow to earn a free game (called a special in that context) by achieving a specific task.  or what you are if you ride a short bus.
tubgirl|what has been seen, cannot be unseen
Woodrail|Pinball machines manufactured prior to appr. 1961 that used wood to frame the playfield glass
VUK|a vertical up-kicker.  also known as a popper.  if you are playing South Park, that is where the ball is stuck.
SVUK|Super Vertical Up-Kicker;   for when a regular up-kicker just cannot do the job.
Drain|The common term used to refer to the area beneath the flippers. If the ball rolls into the drain, it will be lost. The game ends when all of your balls are lost.   or what you are, after a happy ending.
Life|like a box of chocolates
mode|A configuration of the table where specific goals must be met in a limited time to score points, hitting specific lanes or dropping specific targets, sometimes combined with multiball.  Pat Lawlor takes credit for these.
Magic post|A post which can rise up between the flipper fingers and completely block the middle drain. Sometimes also called Recovery Post or Up post.   or your 'Johnson'.
Popeye|actually pretty good
Spinner|A rotating target, mostly placed at the entrance to a loop/orbit or ramp,   or a petite woman.
Vari-target|A target that can be moved by the ball by a varying amount. Normally this directly corresponds to the amount of points received, as it is usually risky trying to shoot the narrow target with full force.  Pat Lawlor put one in RBION.
GI|not gastrointestinal,   but rather an acronym of General Illumination, this refers to the lights on the playfield used simply to make the playfield visible in a dark room.
BBH|Big Buck Hunter.  And it's crap
rapid fire ejector|a sadistic device that ejects balls at lightning speed toward your flippers, or SDTM
AITH|Ace In The Hole - the coolest ball lock that puts a ball in jail, while you bash on it to set it free,  or give it a sock
tidbit|a small and particularly interesting item of gossip or information
tidbot|a bot for small and particulary intersting items of gossip or information
lospat|keeping pinball alive in South Africa
Bags|Mr Moneybags
ES|Earthshaker
RBION|Ripleys: Believe it or Not
FT|Fishtales
FT|Full Throttle
EATPM|Elvira and the Party Monsters
EATPM|Better than SS
eatpm|fuckin crazy expensive
SF2|Streetfighter 2
danger|my middle name
Timed mode|Allegedly first introduced by Pat Lawlor on Funhouse, with the Superdog mode
koi|https://www.youtube.com/watch?v=0tH4rsbtuZk
I'm excited to see how they can make a good machine from a film that|about nothing.
FTZ|FreeWPC Twilight Zone
Met|an easy one to understand also
Mustang|the new Avatar / Xmen / NBA / Playboy 
cincy league|scheduled for convenience .. 8 sessions, 6 kept, drop lowest two.  Many will use those to skip sessions when they're out of town, etc
FP|firepower
FP|a lot of fun
spoon|a knife
knife|a fork
fork|a spoon
wpc repair|http://techniek.flipperwinkel.nl/wpc/index2.htm
wpc repair|http://www.beerorkid.com/pin/System%20WPC/WPC%20part1/index1.htm
wpc schematic|http://arcarc.xmission.com/Pinball/PDF%20Pinball%20Misc/
topcast|http://www.pinrepair.com/topcast/past.php
pinside|full of wankers talking bollocks
DPL|Michigan's prominate Drama Pinball League,    guys in it think they have pinball skillz, but they act like little girls
pinlicious|a guy still looking for his spoon
MPF|Mission Pinball Framework
AMH|Americas Most Haunted, a stupid TV show and a stupid theme to pick.  Ben Heck really does pick weird themes
Ben Heck|pretty weird :P
TWD|The Wanking Douche
Dr Pixfin|http://www.pinwiki.com/wiki/index.php?title=What_is_a_%22Hack%22%3F
scarface pinball|https://www.youtube.com/watch?v=gHw_YJCDehM
CP|Champion Pub
CP|Checkpoint
CP|CardioPulmonary or something else.  
Nordman|not amused -- http://www.pinballnews.com/shows/expo2013/35.jpg
WOO|Wrath of Olympus
MOO|GravitaR being dyslexic
DOHO|Dorothy Ho
373|a great score
totan|Tales of the Arabian Nights
CFTBL|Creature From the Black Lagoon
CFTBL|In every single goddamn container I've ever opened
WoZ|my biatch now.   Finally getting good at the game and having a few 500K+ scores each session I spend on it.
tcpl|The league where the Chili, Booze, and the Fun flows.
PB|Playboy
#pinball|all about ice hockey; occasionally, things get off topic, and pinball is discussed
KSP|Kerbal Space Program
whitewater|kinda rare down here cause well the 2 he has is the only 2 i have ever seen for sale
Funhouse|Pat Lawlor, so it's just a dull recycled loop design
rfm|too cheap
RFM|the Porsche 928 of the pinball world
monster bash|crazy expensive
woz|http://www.ipdb.org/machine.cgi?id=5967
JAMMA|Japanese Arcade Machine Manufacturers Association, a standard for video games back in the late 80s/early 90s
biltong|hard to find even for me 
TYFF-ASI|Take Your Fucking Flippers and Shove It
youtube|almost worse than tv... forced ads and real crummy content is the norm it seems
noscript|better overall than adblock.. it nukes annoying ads, but also blocks all kinds of tracking and other bullshit
pinsound|basically a custumized small PC or arduino type board)
FIRQ|a DMD signal for page advance
papatv|http://www.twitch.tv/papatvpinball
Voltan|another game with beautiful artwork but suck gameplay
Air Aces|awesome
WW|Whirlwind
P-ROC|something that's been wanted for a long time: a generic platform not tied to any particular manuf.
TWD|far better then TFTC, Frankenstein(DE), but that poor to have to compare to them.
WOZ|a home table, TWD is an op table, so obviously TWD is going to work better in a show environment
Forbidden planet|Forbidden to Play-it
twd|Something that Sonny_Jim didn't immediately hate, which is good for a Stern
hp|Harry Potter our Quidditch savior who was schooled at Hogsworth; and should never be confused with Heighway Pinballl the douche canoe who is noticabley absent from Play Expo 2014
Gary Stern|Easier to get on with now he's an alcoholic
Gary Stern|he's gary fuckin stern
Sonny_Jim|A Hipster Stern Hater
TBL|$8,500
sys11|http://www.pinwiki.com/wiki/index.php?title=Williams_System_9_-_11
BK|Black Knight
IRC|Older than WWW by about 6 months
WOOLY|Wrath of Olympus
HEP|High End Pins, or "How much did you spend on that pinball table, honey?  I want a divorce"
ppl|Pittsburgh Pinball League
PPS|Planetary Pinball Supplies

MPF|a Python-based pinball software framework that�s used to run real pinball machines with the goalto allow hard-core programmers and casual builders to be able to create pinball software�whether you want to write new game code for existing pinball machines or whether you want to build your own totally custom pinball machine from scratch.
fixpin|http://www.pinwiki.com/wiki/index.php?title=What_is_a_%22Hack%22%3F
Space Jam|Not completely terrible, Sonny_Jim likes it, for some odd reason
dod|Do or die on Iron Man
PF|playfield
PF|Police Force
FEMA|Federal Emergency Management Agency (USA)
SJ|Space Jam, the finest table ever made by Sega
Sega|http://www.ipdb.org/search.pl?searchtype=advanced&mfgid=280
NBA|Not half the game that it was ripped off from, the great, great Space Jam
pisound|the sound that a pie makes
SP|South Park
WWFRR|WWF Royal Rumble, by Data East
WWE|WWE Wrestlemania by Stern
WM|Wrestlemania, by Stern
C-11844|the 5 bank dr tgt Opto Board
Licensing|obviously a big deal, and while these types of things have simply been accepted in the past, indie pinball (yes, I'm going to keep calling it that) is potentially a completely different beast altogether. Gathering copyright and likeness permissions is a huge, daunting process, but is very rewarding in the end. That being said, this is something you need to have reasonably taken care of before making any major an
MSF|Mary Shellys Frankenstein
easter eggs|http://hem.bredband.net/b257182/Cows&Easter.htm
IM|boring as shite
IJ|fun, great quotes, good theme
wpt|good
65 inches|a total you usually hear referred to as the base at a ski resort.
apparently the plan|dump it in the harbor.
only other choice|load it on railroad hopper cars and send it south.
there|no more rio to drain
snow|1/10th density as water, if you're going to ship to CA you want it liquid the whole way
snow|also wayu more volume
The game|popular and the movie will be a big hit
skitb|Some Kids In The Basement, apparently
FTHR|Vapourware
camera|cake
sttng|going for less here
IM|huge right now
circus voltaire|only ok too imo
CV|Circus Voltaire
